,returns,score,ticker,pairs,weight
2,-0.09241628365068932,3.671927469500029,TEL,"[u'BHI', u'REGN', u'HES', u'TXT', u'HAL', u'SHW', u'EMR', u'ITW', u'GLW', u'APH', u'COG', u'DNR', u'NFLX', u'TWX', u'HRB', u'UA', u'ISRG', u'EXPD']",0.041049517899982846
4,-0.11171171171171157,3.6072308972114104,F,"[u'AEP', u'XRX', u'BXP', u'RRC', u'GME', u'GE', u'LOW', u'MSI', u'ACT', u'JNJ', u'UA', u'DTV', u'BCR', u'EXPD']",0.041049517899982846
5,-0.05052264808362328,2.8556311122848714,NWSA,"[u'WDC', u'CVX', u'CMG', u'DE', u'CMA', u'CCL', u'CAH', u'KLAC', u'WYN', u'TIF', u'UTX', u'HBAN', u'DLTR', u'NSC', u'RF', u'EXPD', u'LLTC', u'FITB', u'K', u'CHK', u'STI', u'STT', u'GD', u'MTB', u'HAR', u'ISRG', u'PWR', u'NTRS', u'MCHP', u'UA']",0.041049517899982846
6,-0.08979238754325258,2.766242779629748,BWA,"[u'AXP', u'GOOGL', u'DTV', u'SHW', u'FOXA', u'DD', u'IR', u'RHT', u'URI', u'ANTM', u'DAL', u'HSP', u'KLAC', u'LYB', u'UNH', u'TWX', u'TMK', u'UPS', u'EXPD']",0.041049517899982846
8,-0.06448202959830862,2.7172344282018237,MDT,"[u'CELG', u'PPG', u'COG', u'HRS', u'GNW', u'CPB', u'DD', u'GPC', u'CBS', u'AVY', u'MON', u'BLK', u'PLL', u'UA', u'ISRG', u'CTAS']",0.041049517899982846
0,-0.08613333333333328,2.6583483699821797,DO,"[u'K', u'AVP', u'CAH', u'ROP', u'UA', u'LRCX']",0.041049517899982846
3,-0.09533648170011833,2.6493302403132057,MAT,"[u'AEP', u'TE', u'ADS', u'XL', u'SYK', u'PM', u'MO', u'GOOGL', u'ACN', u'ABC', u'ISRG', u'REGN', u'XEL', u'CAH', u'COG', u'LLL', u'TXT', u'UA', u'BIIB', u'SLB', u'IPG']",0.041049517899982846
9,-0.0657041222012974,2.6411625188670658,AVY,"[u'PAYX', u'GGP', u'SWN', u'HCP', u'UA', u'SRE', u'KO', u'SEE', u'ACN', u'MAC', u'COST', u'HST', u'HCN', u'AMT', u'MDT', u'EXPD']",0.041049517899982846
7,-0.04985337243401755,2.634381395940738,HCBK,"[u'COP', u'WDC', u'CVX', u'AMAT', u'CAM', u'NTRS', u'XOM', u'NSC', u'DHR', u'DGX', u'SPG', u'LLTC', u'ZION', u'BLL', u'CSX', u'VZ', u'BBT', u'ISRG', u'SLB', u'NFX', u'TSCO', u'CERN', u'NLSN', u'RSG', u'NOC', u'ROST', u'JNJ', u'UA']",0.041049517899982846
1,-0.06526761648055446,2.585670926776872,WHR,"[u'NFLX', u'IBM', u'CVX', u'WM', u'BAX', u'TIF', u'PCAR', u'KSS', u'DLTR', u'NBL', u'PKI', u'A', u'IR', u'CL', u'FITB', u'DISCK', u'M', u'JEC', u'R', u'VZ', u'TSCO', u'PWR', u'PHM', u'SNA', u'CINF', u'PSA', u'JNJ', u'SYY', u'UA']",0.041049517899982846
